id,Épica,Tipo,Historia de usuario,Criterios de aceptación,Valor (1-5),Riesgo (1-5),Puntos,Prioridad,¿Trata datos personales?,¿Requisitos de seguridad?,Sprint previsto
HU-001,Acceso,Historia,Como usuario quiero iniciar sesión para acceder de forma segura a la aplicación,Credenciales válidas permiten el acceso; credenciales inválidas muestran un mensaje de error,5,5,5,5.00,Sí,Sí,Sprint 1
HU-004,Usuarios,Historia,Como administrador quiero registrar usuarios para gestionar el acceso al sistema,Se puede registrar un usuario con datos válidos; se rechazan datos incompletos,5,5,5,5.00,Sí,Sí,Sprint 1
HU-006,Seguridad,Historia,Como administrador quiero asignar roles a los usuarios para controlar sus permisos,Se puede asignar un rol válido; el usuario obtiene los permisos correspondientes,5,5,5,5.00,Sí,Sí,Sprint 1
HU-025,Seguridad,Historia,Como administrador quiero restringir las funciones según el rol para evitar accesos no autorizados,Cada rol solo accede a sus funciones permitidas; los accesos no autorizados son rechazados,5,5,5,5.00,Sí,Sí,Sprint 2
HU-002,Acceso,Historia,Como usuario quiero cerrar sesión para proteger mi cuenta,La sesión se cierra correctamente; al volver a la aplicación se solicita autenticación,5,4,2,4.60,Sí,Sí,Sprint 1
HU-003,Acceso,Historia,Como usuario quiero recuperar mi contraseña para volver a acceder a mi cuenta,Se puede solicitar recuperación; se muestra confirmación de solicitud,5,4,3,4.60,Sí,Sí,Sprint 1
HU-005,Usuarios,Historia,Como administrador quiero consultar usuarios registrados para conocer las cuentas existentes,Se muestra la lista de usuarios; si no existen usuarios se muestra un mensaje informativo,5,4,5,4.60,Sí,Sí,Sprint 1
HU-007,Información,Historia,Como usuario quiero registrar información para mantener mis datos organizados,Se permite registrar información válida; se muestran errores cuando faltan datos obligatorios,5,4,5,4.60,Sí,Sí,Sprint 1
HU-008,Información,Historia,Como usuario quiero editar información registrada para mantener mis datos actualizados,Se puede modificar un registro existente; los cambios se guardan correctamente,5,4,3,4.60,Sí,Sí,Sprint 1
HU-010,Consulta,Historia,Como usuario quiero consultar información registrada para encontrar rápidamente los datos que necesito,Se muestra la información disponible; si no existen datos se muestra un mensaje informativo,5,4,3,4.60,Sí,Sí,Sprint 1
HU-009,Información,Historia,Como usuario quiero eliminar información para mantener actualizados mis registros,Se solicita confirmación antes de eliminar; el registro deja de aparecer después de confirmar,4,5,3,4.40,Sí,Sí,Sprint 2
HU-016,Seguridad,Historia,Como usuario quiero que mi sesión expire después de un periodo de inactividad para proteger mi cuenta,La sesión expira después del tiempo configurado; se solicita nuevamente autenticación,4,5,3,4.40,Sí,Sí,Sprint 2
HU-017,Seguridad,Historia,Como administrador quiero consultar un registro de actividades para identificar acciones realizadas en el sistema,Se muestran las actividades registradas; si no existen actividades se informa al administrador,4,5,4,4.40,No,Sí,Sprint 2
HU-012,Consulta,Historia,Como usuario quiero filtrar información por categorías para consultar datos específicos,Se pueden aplicar filtros; al quitar los filtros se muestra nuevamente toda la información,4,4,3,4.00,Sí,Sí,Sprint 2
HU-013,Perfil,Historia,Como usuario quiero consultar mi perfil para verificar mis datos personales,El perfil muestra los datos registrados; si no hay información se muestra un mensaje adecuado,4,4,2,4.00,Sí,Sí,Sprint 2
HU-014,Perfil,Historia,Como usuario quiero actualizar mis datos personales para mantener mi perfil actualizado,Se pueden modificar datos permitidos; los cambios se guardan correctamente,4,4,3,4.00,Sí,Sí,Sprint 2
HU-020,Administración,Historia,Como administrador quiero desactivar usuarios para impedir temporalmente su acceso,Se puede desactivar un usuario; el usuario desactivado no puede iniciar sesión,4,4,3,4.00,Sí,Sí,Sprint 2
HU-011,Consulta,Historia,Como usuario quiero buscar información por palabras clave para encontrar registros rápidamente,La búsqueda devuelve coincidencias; si no existen coincidencias se informa al usuario,4,3,3,3.60,Sí,Sí,Sprint 2
HU-018,Información,Historia,Como usuario quiero visualizar el detalle de un registro para revisar toda su información,Se muestra el detalle completo; si el registro no existe se muestra un mensaje de error,4,3,2,3.60,Sí,Sí,Sprint 2
HU-023,Conectividad,Historia,Como usuario quiero recibir un mensaje cuando no exista conexión para saber qué debo verificar,La aplicación detecta ausencia de conexión; se muestra un mensaje al usuario,3,4,2,3.40,No,Sí,Sprint 2
HU-024,Conectividad,Historia,Como usuario quiero que la aplicación informe cuando ocurra un error del servidor para conocer el estado de la operación,Se detecta el error del servidor; se muestra un mensaje apropiado sin exponer información sensible,3,4,2,3.40,No,Sí,Sprint 2
HU-015,Notificaciones,Historia,Como usuario quiero recibir notificaciones para conocer cambios importantes en la aplicación,Las notificaciones se muestran cuando ocurre un evento; si no existen notificaciones se informa al usuario,3,3,3,3.00,Sí,Sí,Sprint 2
HU-021,Administración,Historia,Como administrador quiero reactivar usuarios para permitir nuevamente su acceso,Se puede reactivar un usuario; el usuario puede iniciar sesión nuevamente,3,3,3,3.00,Sí,Sí,Sprint 2
HU-022,Usabilidad,Historia,Como usuario quiero visualizar mensajes claros de error para comprender qué ocurrió,Los errores muestran mensajes comprensibles; no se muestran datos técnicos sensibles,3,3,2,3.00,No,Sí,Sprint 2
HU-019,Información,Historia,Como usuario quiero cancelar el registro de información para evitar guardar datos incorrectos,Se puede cancelar la operación; los datos no confirmados no se almacenan,3,2,2,2.60,Sí,Sí,Sprint 2
